Date,Interviewers Name,SURVEY NO.,Name,Age,Mobile/phone number,Village,District,Percentage of revenue you reinvest into the business,Profit amount (monthly) (INR),Percentage of income you save,Do you have an Aadhar Card?,Do you have a PAN Card?,Do you have a Ration Card,Do you have a Bank Account,Monthly Income (INR),Total Assets (INR),Total Loans (INR),Total Savings (INR)
2022-02-10,Interviewer C,41,Person 41,53,+91 3311001764,Village C,District A,9.804845843754272,9054,69.50964937963518,Yes,Yes,Yes,Yes,25964,537564,424103,406358
2022-02-11,Interviewer C,42,Person 42,46,+91 0315645329,Village A,District C,91.51622135497767,5133,85.95358705756442,Yes,No,Yes,No,20702,781884,94949,126490
2022-02-12,Interviewer C,43,Person 43,41,+91 5649444184,Village B,District A,12.927040976639548,1086,9.726487439470766,No,No,Yes,Yes,10220,888530,366518,481121
2022-02-13,Interviewer A,44,Person 44,40,+91 4343992611,Village A,District C,88.59021924183811,6096,2.484741149092662,Yes,Yes,No,No,27967,759779,189942,164959
2022-02-14,Interviewer B,45,Person 45,35,+91 4051153697,Village A,District A,77.90339047514358,4630,26.997245511677413,Yes,No,Yes,Yes,22683,945599,170371,227641
2022-02-15,Interviewer B,46,Person 46,44,+91 1593252299,Village B,District A,68.45440083018978,8377,40.24129092821012,Yes,Yes,Yes,No,47820,483872,88081,243960
2022-02-16,Interviewer B,47,Person 47,34,+91 2026276708,Village B,District A,86.42887271018826,7192,26.432461485933324,Yes,Yes,No,Yes,48712,550906,22711,406534
2022-02-17,Interviewer C,48,Person 48,28,+91 4619757490,Village C,District C,8.88174377589791,4492,30.926511379720225,Yes,Yes,Yes,Yes,8724,429366,350118,78758
2022-02-18,Interviewer A,49,Person 49,48,+91 2604163717,Village B,District C,69.40359730122087,9531,98.8592111797222,No,Yes,No,No,46360,260043,151749,70110
2022-02-19,Interviewer A,50,Person 50,50,+91 8059187049,Village C,District C,24.504992359541276,2327,26.67300127636051,Yes,No,No,No,44864,459331,456360,359046
